Input point mass balance file. Row 1 are headers of each column. Column 1 is mass balance year. Column 2 is site name. Column 3 is the date (mm/mm/yyyy) of spring observations.
Column 4 is the date (mm/dd/yyyy) of fall observations. Column 5 is the site elevation (HAE). Column 6 is the specific winter mass balance in combined time system (Mayo and others, 1972).
Column 7 is the specific annual balance in combine time system. Column 8 is the amount of addditional observed ablation between fall and spring visits. Column 9 is the amount of snow which fell between spring and fall visits.
Column 10 is the temperature(C) of the previous summers surface measured in the spring. All mass balance observations are in meters water equivalent mass. If a observation was not made enter NaN.
Final input file must begin with row 1 as seen in the example below.

bal_year	site_name	date_1	date_2	z	winter	net	winter_ablation(-)	summer_accumulation(+)	spring_ss_temp
1989	C	6/17/1989	10/8/1989	1304	2.4	0.34	0	0.21	-3.75
1990	A	3/17/1990	9/10/1990	599	0.7	-5.76	-0.13	0	-1
1990	B	3/17/1990	9/11/1990	1078	1.24	-3.07	-0.03	0	NaN
1990	C	3/17/1990	9/11/1990	1304	1.84	-0.73	0	0	-2.5
1991	A	5/13/1991	9/18/1991	599	0.8	-3.19	-0.42	0	0
1991	B	5/13/1991	9/12/1991	1078	1.33	-1.27	-0.05	0	NaN
1991	C	5/13/1991	1/25/1992	1304	2.9	3.17	-0.12	2.14	-2.5
1992	A	5/13/1992	9/6/1992	598	0.95	-2.86	-0.01	0	-1
1992	B	5/13/1992	9/3/1992	1077	1.76	-1.08	-0.07	0	NaN
1992	C	5/13/1992	9/7/1992	1304	2.79	1.37	0	0.03	-2.5
1993	A	5/16/1993	9/13/1993	597	0.95	-3.75	NaN	0	0
1993	B	5/15/1993	9/10/1993	1077	2.05	-1.39	-0.11	0	NaN
1993	C	5/15/1993	9/13/1993	1304	3.35	0.76	0	0	-2.5
1994	A	5/16/1994	9/9/1994	597	0.8	-5.1	-0.18	0	-1
1994	B	5/13/1994	9/10/1994	1077	1.6	-1.19	-0.17	0	NaN
1994	C	5/13/1994	9/10/1994	1304	2.98	1.35	-0.05	0	-2.5
1995	A	5/11/1995	9/14/1995	596	0.97	-3.78	-0.5	0	0
1995	B	5/14/1995	9/15/1995	1077	2.3	-0.89	-0.17	0	NaN
1995	C	5/14/1995	9/14/1995	1303	3.18	1.4	0	0	-2.5
1996	A	1/12/1996	9/20/1996	593	0.33	-5.36	-0.89	0	0
1996	B	5/29/1996	9/21/1996	1076	1.09	-1.89	-0.45	0.01	NaN
1996	C	5/30/1996	9/20/1996	1304	1.76	0.01	-0.31	0	-7
1997	A	5/19/1997	8/29/1997	589	0.66	-5.04	-0.08	0	0
1997	B	5/20/1997	8/27/1997	1076	1.53	-1.86	0	0	NaN
1997	C	5/19/1997	8/27/1997	1305	2.71	-0.04	-0.13	0	-2.5
1998	A	5/29/1998	9/24/1998	586	1.67	-2.08	-1.3	0	0
1998	B	5/25/1998	9/24/1998	1075	2.72	-0.14	-0.78	0	NaN
1998	C	5/26/1998	9/24/1998	1306	3.65	2.32	-0.29	0	-1.2
1999	A	5/17/1999	9/24/1999	584	0.98	-5.34	-0.1	0	0
1999	B	5/13/1999	9/24/1999	1075	1.76	-1.61	NaN	0	NaN
1999	C	5/14/1999	9/24/1999	1305	2.58	1.23	NaN	0.44	-1.2
2000	A	5/12/2000	9/22/2000	583	1.72	-3.5	-0.13	0	0
2000	B	5/10/2000	9/19/2000	1075	2.22	-0.55	-0.05	0	NaN
2000	C	5/11/2000	9/22/2000	1304	3.24	2.62	0	0.3	-2.2
2001	A	5/18/2001	NaN	581	3.06	-3.09	-0.11	0	0
2001	B	5/16/2001	9/25/2001	1074	3.16	-0.12	NaN	0.05	-0.5
