1976	10	17	1977	2	22	703
1978	4	22	1978	9	27	436
1971	9	6	1971	9	30	34
1990	1	31	1990	3	17	134
1986	6	15	1986	8	21	nan
1993	11	21	1994	2	3	309
1996	3	14	1996	5	29	88
1998	4	18	1998	5	28	96
1995	11	7	1996	1	10	87
1966	10	1	1967	6	1	nan
1967	10	16	1968	1	28	nan
1968	2	1	1968	2	7	nan
1968	2	16	1968	4	9	nan
2002	4	10	2002	5	18	nan
2004	1	29	2004	2	8	0
2004	4	23	2004	5	14	18
2006	10	12	2006	11	26	28
2005	1	16	2005	4	13	105
