Input area altitude distribution in 100 meter elevation bands. As descrided by Elsberg and others(2001), all available DEMs are used to linearly interpolate conventional glacier surfaces.  
Row 1 are bin center elevations(m). Column 1 are years(1-n). Columns 2-n are the glacier area(km^2) within that bin. Final input file must start at the header "Glacier name AAD, km^2,..."





"""Wolverine Glacie"	"r AAD, km^2, re"	ference Wolv_AAD	".xls for headers,"	100 m bins 400-	"1700""	"									
														
NaN	450	550	650	750	850	950	1050	1150	1250	1350	1450	1550	1650	1750
1997	0.035466667	0.303483333	0.431891667	0.411166667	0.2822	0.904108333	2.452008333	1.487816667	2.613775	4.497491667	2.323633333	0.769258333	0.094275	0
1998	0.03675	0.3071	0.425175	0.4027	0.27625	0.9148	2.450675	1.472025	2.572775	4.540675	2.3249	0.75595	0.096925	0
1999	0.03864375	0.30495625	0.421525	0.39940625	0.2723625	0.9194875	2.44368125	1.4676875	2.58286875	4.5106	2.32051875	0.77193125	0.10045625	0
2000	0.0405375	0.3028125	0.417875	0.3961125	0.268475	0.924175	2.4366875	1.46335	2.5929625	4.480525	2.3161375	0.7879125	0.1039875	0
2001	0.04243125	0.30066875	0.414225	0.39281875	0.2645875	0.9288625	2.42969375	1.4590125	2.60305625	4.45045	2.31175625	0.80389375	0.10751875	0
2002	0.044325	0.298525	0.410575	0.389525	0.2607	0.93355	2.4227	1.454675	2.61315	4.420375	2.307375	0.819875	0.11105	0
2003	0.048920833	0.290029167	0.399883333	0.380341667	0.257283333	0.961858333	2.399295833	1.446391667	2.637670833	4.4089875	2.289004167	0.815720833	0.1062375	0
2004	0.053516667	0.281533333	0.389191667	0.371158333	0.253866667	0.990166667	2.375891667	1.438108333	2.662191667	4.3976	2.270633333	0.811566667	0.101425	0
2005	0.0581125	0.2730375	0.3785	0.361975	0.25045	1.018475	2.3524875	1.429825	2.6867125	4.3862125	2.2522625	0.8074125	0.0966125	0
2006	0.062708333	0.264541667	0.367808333	0.352791667	0.247033333	1.046783333	2.329083333	1.421541667	2.711233333	4.374825	2.233891667	0.803258333	0.0918	0
2007	0.067304167	0.256045833	0.357116667	0.343608333	0.243616667	1.075091667	2.305679167	1.413258333	2.735754167	4.3634375	2.215520833	0.799104167	0.0869875	0
2008	0.0719	0.24755	0.346425	0.334425	0.2402	1.1034	2.282275	1.404975	2.760275	4.35205	2.19715	0.79495	0.082175	0
2009	0.076495833	0.239054167	0.335733333	0.325241667	0.236783333	1.131708333	2.258870833	1.396691667	2.784795833	4.3406625	2.178779167	0.790795833	0.0773625	0
2010	0.081091667	0.230558333	0.325041667	0.316058333	0.233366667	1.160016667	2.235466667	1.388408333	2.809316667	4.329275	2.160408333	0.786641667	0.07255	0
2011	0.0856875	0.2220625	0.31435	0.306875	0.22995	1.188325	2.2120625	1.380125	2.8338375	4.3178875	2.1420375	0.7824875	0.0677375	0
2012	0.075343813	0.205308	0.302326625	0.302750125	0.228478563	1.176871188	2.213805125	1.37976925	2.81348475	4.320394375	2.1432645	0.795010063	0.084957938	0
2013	0.065000125	0.1885535	0.29030325	0.29862525	0.227007125	1.165417375	2.21554775	1.3794135	2.793132	4.32290125	2.1444915	0.807532625	0.102178375	0
2014	0.054656438	0.171799	0.278279875	0.294500375	0.225535688	1.153963563	2.217290375	1.37905775	2.77277925	4.325408125	2.1457185	0.820055188	0.119398813	0
2015	0.04431275	0.1550445	0.2662565	0.2903755	0.22406425	1.14250975	2.219033	1.378702	2.7524265	4.327915	2.1469455	0.83257775	0.13661925	0
2016	0.033969063	0.13829	0.254233125	0.286250625	0.222592813	1.131055938	2.220775625	1.37834625	2.73207375	4.330421875	2.1481725	0.845100313	0.153839688	0
2017	0.023625375	0.1215355	0.24220975	0.28212575	0.221121375	1.119602125	2.22251825	1.3779905	2.711721	4.33292875	2.1493995	0.857622875	0.171060125	0
2018	0.013281688	0.104781	0.230186375	0.278000875	0.219649938	1.108148313	2.224260875	1.37763475	2.69136825	4.335435625	2.1506265	0.870145438	0.188280563	0
2019	0.002938	0.0880265	0.218163	0.273876	0.2181785	1.0966945	2.2260035	1.377279	2.6710155	4.3379425	2.1518535	0.882668	0.205501	0
2020	0	0.071272	0.206139625	0.269751125	0.216707063	1.085240688	2.227746125	1.37692325	2.65066275	4.340449375	2.1530805	0.895190563	0.222721438	0
